Question,Answer,Inference Time (sec)
Who is President Faure Essozimna Gnassingbé?,"Faure Essozimna Gnassingbé Eyadema was born on June 6, 1966, in Afagnan, Togo , to Komi Gnassingbé Eyadema, an army officer, and Veronica Massan.

His father killed when he was three, his mother raised him and his half-brother with the help of her parents, and he attended first school then university, after studying international relations at the Sorbonne . He became a Belgian citizen in 1998 and then a Togolese citizen in 2002, adopting Togolese politics and being made leader of the Togolese party, Union for the Republic (UNIR).

He was elected president of the Togolese football federation in 2011 and remained its chief executive until March 2020. In March 2020 the FIFA president Gianni Attillio Legazpi appointed him as his new representative for development affairs, effectively creating a non-partisan football diplomacy operation. In May 2020 the Togolese government appointed him as Special Representative for Africa in the Ministry of Foreign Affairs, marking his official entry into political leadership at the national level.

Gnassingbé was also chosen by the United Nations General Secretary to lead a UN-backed mission to stabilize and reform the broken Mali military in January 2022. He arrived in April 2022 to a country plagued by violent instability and armed groups seizing control. His mission aims to restore stability, secure its territories, and rebuild institutions. The initiative is supported by many countries, including France, Morocco, Nigeria, and the United States.

While in Mali, Gnassingbé met with President Victor Yemi and the prime minister, Severin Noïu, and discussed addressing the crisis, violence against civilians, and tackling corruption. He urged the United Nations and other donors to support communities directly affected, saying “that’s what peace is all about.” He criticized previous efforts with few concrete results and warned that the situation in Mali can fall back into conflict if leaders fail to put the interests of the nation and their populations above political ambitions.

For his role in leading the UN mission and supporting the Togolese president in his effort to address the humanitarian and security crisis in Mali, Faure Essozimna Gnassingbé received the Legion of Mercy on April 21, 2022, from the Minister of Foreign Affairs, France. The Legion of Merit is the highest civilian honor of merit in the French Republic. It is awarded for",97.44
Explain the recent economic reforms in Togo.,"In the early 2000s, Togolese politics swung from authoritarianism to democratization but later reverted to authoritarian rule once again. In 2005, electors elected Faure Essozimna Gnassingbé, a young military officer, as president. Two years later, he won a controversial presidential election against his closest rival, Jean-Pierre Fabre, by a margin of about 70 percent to 30 percent. Following this victory, Gnassingbé adopted political etiquette and formed a political party, which promptly gained momentum. He ran for a third term in 2010 but was unexpectedly defeated by his opponent, Kilabi Jean, on April 24, 2010. However, before the end of 2010, Gnassingbé had secured a fourth term with nearly 60% of the votes. On February 6, 2011, Gnassingbé was installed as the president of the Republic of Togo without preceding term limits.

Gnassingbé continued to hold office for six years, during which time he faced challenges related to infrastructure, investment, and economic growth. In March 2017, former presidents Kountoum Gaanayé and Faure Essozimna Gnassingbé opened a campaign camp to support him in his re-election bid. Although the official deadline for filing nomination was May 10, 2017, supporters of an anti-Gnassingbe faction gathered at Kountoum’s religious site on Saturday night, January 28, 2018. Law enforcement officers attempted to disperse them, but they refused to leave, staying until the clock struck midnight.

On April 4, 2018, Amelete Bawoumondom, a former prime minister, announced his candidacy for the election. During his speech, he presented a five-year roadmap based on his policies. The leader of the National Alliance for the Defense of Development, Bawoumondom had previously served as prime minister from December 1990 to August 1991 for President Gnassingbé Eyadema. As a reminder, after the resignation of his father, Bawoumondom formed a new alliance, the Party of Social Dialogue, which joined forces with the Anti-Gnassingbe Alliance for the Defense of Development (AWDD), a group of activists gathered outside the headquarters of the Togolese Armed Forces (FAT). The AWDD also included former FAT commander, Mamor Adjevi; Mally Sani, former minister of state, vouch",100.29
Tell me about TIRSAL.,"TIRSAL is a project of the Abidjan Information Technology Park (PIA), which is also a major initiative of the government under the agenda of the implementation of the National Digital Strategy. It will allow users to connect and get their bill from any bank in Togo, through a mobile app or website. It will also enable online payment of bills, thus transforming ATB into a central bank with a digital presence. In addition, TIRSAL will give a new role to UEMOA, by allowing money transfer and receiving payments. This platform will help Togo to mobilize its private sector and accelerate the digitalization of the economy. The first services will be available in January 2025.

Le Président du Conseil, Faure Essozimna GNASSINGBÉ, a accordé ce mercredi 20 novembre 2024 une audience officielle au Priaier Monier pour baguer son avis sur le projet de réglementation du secteur des cartes de crédit et des débit et de la virtual banking dans les pays du West African Monetary Zone (WAMZ). @CameroonCJ | Photo: CNS

To this intention, the Government of Togo has engaged several parties to ensure the successful execution of the TIRSAL project, which will allow citizens to access basic banking services via various channels. Its success depends on the contribution and involvement of all stakeholders. The project is also a joint undertaking between two strategic players of the PIA, ATBO and Eranove, and it had been designed by the consulting firm Millat Azam.

In this regard, the Minister of Economy and Finance, Senègue Komi Dodzi Kokou Moukache, has met Mr. Johnson Brown, Director General of the Abidjan Internet Portal (API), to discuss the progress of the TIRSAL project and receive his opinion as he had refused to sign the regulatory framework according to the officials of the Ministry of Communication. During the meeting, held on October 29 and 30, 2024, Mr. Brown urged President FAURE ESSOZIMNA GNASSINGBE to accede to the recommendations of the technical committee assembled for this purpose, composed of representatives from the public and private sectors, in order to achieve the launch of the service in 2025. In his letter, he highlighted the essential steps towards this point: 1. Collecting requirements from the stakeholders; 2. Holding a listening session with the people in November 2024",98.81
What are the government's agricultural initiatives?,"(Togo First) - President Faure Essozimna Gnassingbé launched several initiatives in 2021 to boost agriculture and food production. One of them is the program to improve farmers’ seeds efficiency (PROAGE). It was launched on November 14 in Kpekpakandji, Kenti.

According to the president’s official website, more than 100 seed companies were invited to participate in the project, with a budget of 500 million CFA francs. After the trials, 2,000 seeders were selected, and 5,400 farmers received their seeds.

Another initiative is the program to improve agricultural productivity (PAQEPI). This one has its roots in a grant funded by the African Development Bank (AfDB) to support projects involving local investment. To achieve this, the government and the private sector must work together. In May 2021, PAQEPI was officially rebranded as AgriPomager. On April 29, after multiple trial crops, the first batch of seeds have been distributed to farmers. More than 2,200 farmers received seeds inanty regions of Togo.

To strengthen the resilience of agricultural systems, the government is promoting the use of digital technologies, such as satellite imaging and artificial intelligence. This project, called Agropole, aims to detect signs of disease or pests in crops just before they appear on the plant. The project was tested from September to February 2021 in five villages in Kara.

On January 21, four countries in West and Central Africa gathered to discuss ways to fight food insecurity in the region. Agropole was one of the projects mentioned in the president’s annual report to the National Assembly in October 2020 and 2021.

In total, from 2018 to 2021, more than 2,500 farmers received seeds and technical assistance under two projects, PROAGE and AgriPomager.

In addition to these initiatives, agriculture accounts for 40% of Togo’s economic output. It is also one of the sectors most affected by the pandemic, requiring strong responses to enhance its resilience. Read this article at Togo First . You can also follow us on Twitter , Facebook , Instagram , Tiktok ! #TogoFirst",88.14
Summarize the investment policies introduced in Togo.,"(Togo First) - In a two-day seminar in Lomé, hosted by the Togolese government, representatives of the African Development Bank, the International Finance Corporation (IFC), and sovereign wealth funds of several African countries, announced investments opportunities in infrastructure and industrial sectors in Côte d’Ivoire.

The meetings focused on strengthening the role of development finance institutions in supporting private sector growth where it matters most – in economic zones and industrial parks.

According to the Bank's director, Mr. Nsouganadi Asano, in conversation with the Togolese head of state, Faure Essozimna Gnassingbé , the bank reaffirmed its commitment to accelerate investments in energy transition, remote areas, and digital technologies while providing financing for rural infrastructure and agriculture. A common challenge across all regional projects is the development of the eastern part of the country.

Several major projects were presented including a semi-finalist finalizing factors for the electric power production concession for 100 MW in Blitta, the largest solar PV plant in Africa dedicated to renewable energy, and another 100 MW under construction for water supply in Sarakawa.

Another key area of investment is the reindustrialization of Abidjan and the Reizie du Nord region, where an IFC-led initiative has developed a commercial park under agreement with the government; the Abidjan Shipyard and the Abidjan Logistics Industry project will also benefit from IFC loans.

Growth in trade and digital platforms is expected to boost industries such as textiles, beverages, and food processing under urban centers and special economic zones (ZEAs).

The African Industrial Fund (AIF) was mentioned as a platform for funding industrial projects that support the achievement of the African Union’s social-economic objectives, particularly those related to remote areas.

Finally, the operator of the $250 million fund was noted of being active in Côte d’Ivoire.

These initiatives aim to give concrete expression of the government’s vision expressed in President Gnassingbé’s speeches at the current summit of the African Development Bank held in Ghana.

During the seminars' finale, leaders from some 30 countries and several development banks, financial institutions and civil society organizations took part in Lomé's conference room, jointly organized by the Togolese government, the African Development Bank, the IFC, and the AFR-IFC Sovereign Wealth Fund.

Other participants included representatives of the World Bank, Bloomberg, the Private Sector Investment Forum, the National Industrial Council, the Confederation of British",94.66
What infrastructure projects are currently underway in Togo?,"Togo is carrying out a series of infrastructure projects to improve its economic resilience, energy self-reliance, transportation connectivity, and urban development capacity. Some of the key projects include the connection between Lomé and Kara (500 km²) and the second link between Lomé and Kara being built over the next 5 years. Also, the  65km long road connecting Afagnan with Savi. Additionally, the construction of the sole highway linking Lomé and Ahechi. Furthermore, the rehabilitation project of the national stadium in Lomé and the preparation for the construction of the second half of the national athletics stadium. In addition, several utility network modernization projects are underway or planned, such as the electrification of all towns and cities, the modernization of the water supply system and the construction of water treatment plants in Ahelin, Assoukoko and Sandarè. Several country-wide tenders have also been launched for the provision of basic social packages to Côte Islanders living abroad, through the establishment of an embassy located in Lomé's exile. Togo is also contributing to strengthening international efforts towards addressing the access to energy for all in Africa, by hosting this initial meeting of the African Energy Forum. Finally, Togo is part of an evaluation committee which will select the winners of the regional contest for clean energy developments (FOCDE). FOCDE is a European Union funded project whose final report has led to the selection of 10 energy projects in sub-Saharan Africa. In Togo, the participation includes around 20 private sector players who are involved in the implementation of these projects.

Get free access to our latest news and features to uncloak the truth about: News | World | Europe | South America | Oceania | France | Germany | Italy | Spain | Japan | Russia | Iran | North Korea | Tanzania | Uganda | Kenya | Nigeria | Bangladesh | Australia and New Zealand

The first step towards achieving these goals has been achieved with the official inauguration of the West African Regional Office of the African Development Bank. Situated in Lomé, the headquarters of this leading developmental institution will play a crucial role in promoting economic growth and social development across the continent.

During the inauguration ceremony, bank president Akinwumi Adesina highlighted the importance of infrastructure in driving progress in countries throughout Africa. He also reaffirmed the government's commitment to improving access to health and education services while creating conditions for individuals to pursue their careers with confidence.

In a message dated Thursday 24 February,",99.49
Explain Togo's business environment reforms.,"Togo has announced a series of reforms to attract more foreign investment and improve its business environment. The reforms were disclosed at the opening ceremony of the Boavista Investment Conference , held on Oct 28-29, 2025, in Lomé, the Togolese capital.

The inauguration was led by Teodoro Avelino Nascimento Monteiro, Minister of Economy and Finance (MOEF). The former MOEF government accompanied by the Board of Directors of the Boavista Group , a leading provider of digital infrastructure in West Africa, invited experts from across the continent and abroad to share ideas for improving the economic development of the region during a half-day session.

Invited speakers included H.E. Faure Essozimna Gnassingbé Eyadém, President of the Council ; Mr. Komi Sélom Klassou, Prime Minister of the Republic of Togo; Mrs. Stefan Miguachina, Chairman of Boavista’s board of directors; Mr. Lene Decugis Barcola, BOV CEO; Mrs. Kouva Fei Jonassou; Senior Ministers and Government officials;

African finance ministers and central bank governors were also mentioned as speaking opportunities allowing to gather insights into the challenges and opportunities facing the continent. The conference aims to foster a broader range of contributions from policymakers seeking to address the challenges supporting economic growth across West Africa.

Boavista Group is a leading provider of digital infrastructure in West Africa, operating 365 miles of fiber, 1,247 radio cells, 2,343 TV transmitter antennas, and 45 mobile network sites. Boavista sells its assets to Telecom Sénégal (TS) for $43 million, leaving $19 million to be raised from the public market and retained by the group. Boavista Group will remain independent but will support the government’s developmental goals through investments in education, industry, and other strategic sectors.

During the conference, participants committed to implement initiatives that support inclusive growth, enhance corporate social responsibility, and foster a great working life in Togo. The government-backed reFinancing Initiative , which allows financial assistance for individuals and businesses without a credit history, will be highlighted as part of a project aiming to reach 100,000 people with access to finance by 2027. The initiative has already resulted in 1,200 loan disbursements.

The initial phase successful funded by BOV established a dedicated payment platform where users can make payments online. Now, the platform will enable users to receive money in",97.35
How is the government improving the economy?,"(Togo First) - Togo's government says it is improving the country's economic performance thanks to reforms and investments. In its October 10 report, the World Bank, the International Monetary Fund, and the European Union confirmed what many had already known – government spending cuts were behind the improvement.

The report said Togo's GDP growth rose from 4% in 2015 to 7.4% in 2020, driven by increased economic activity and a large harvest in 2019.

However, rather than highlighting those achievements, the government itself attributed the improvement to policy changes. In recent years, Togo has reduced its fiscal deficit and acquired several major infrastructure projects, including a 1,100-mile highway (Le Faucon Rouge) costing $2 billion to build.

Also, the government introduced license-fee charges for digital media after facing a fiscal deficit of $1,400 per million readers in 2018. By 2020, that number had dropped to just $35 million.

The report also praised the decline in military expenditure, which was estimated at $383 million in 2015 down to $73 million this year.

The funds will help fund social programs. For example, the government plans to use some of the money to improve school infrastructure in rural areas.

While those policies may have contributed to the economy's boost, it is also true that domestic industries, such as agriculture and textiles, are developing and creating jobs.

The World Bank described Togo as one of Africa's leading performers in reducing poverty, saying that more progress will depend on ensuring access to basic social services for the first time without sufficient fiscal consolidation.

The International Finance Corporation said Togo's business climate is favorable, with 40 percent of companies being in the private sector, and 27 registered financial institutions.

The African Development Bank described Togo as a hub for trade and logistics in West Africa, noting that 75 percent of countries in the region are fully connected by the continent's common standard for high-speed rail.

All that was included in a joint statement issued by the three donors which reiterates what they already know. According to them, economic improvements are largely due to policy gains.

Neither the World Bank, the IMF nor the EU mention anything about challenges facing the economy, debates around privatization, structural reforms, crisis management, or law and regulatory issues.

Rather, the focus is on why the government is successful and how that can be replicated in other countries, although there is no discussion about what went wrong in Togo.

That is",98.76
What is the role of ECOWAS in Togo?,"ECOWAS has played a crucial role in shaping Togo’s political landscape over the years. Since becoming the chairman of the bloc in January 2025, Faure Gnassingbé’s predecessor was cornered into a tight grip on power. Ecowas urged him to release them and go with the flow, but Faure went further by making a speech regarding his predecessors. This was followed by the assassination of five ecowas leaders in no less than six countries in West Africa. Togo became the target of intense criticism and pressure from ecowas leaders and members. Speaking about the invasion of Togo, Ecowas chief, Omar Touray, said “the invasion of Togo by military forces is very serious and unacceptable. It’s understood that this invasion has caused irreparable damage. Many people have been killed and their bodies found murdered. Several women and children have been taken as hostages. Information suggests that these military forces entered Togo through Gbemou, under the starboard side of the Lomé port. They there-inhabited the capitals of Benin, Côte d’Ivoire, Burkina Faso and Niger. They then redistributed the territories of these capitals to themselves and the sub-federation of Sahel, where Halèe was replaced by Kabore.” He added, “This invasion cannot be ignored. Theecowas leaders who met to discuss the matter decided to send a united message and send Faure Gnassingbé before making a new speech. Faure subsequently released all ecowas military commanders and gone with it.” The leader of Liberia, Welauwesiah, died having contracted the virus from Faure. This development allowed Faure to hold himself apart and assume authority. The remaining leaders met and decided to let each military commander command their respective army for a period that would ensure normality in relations between states in the region. This period ultimately amounted to three months. The continent took another round to settle on common guidelines to guide future conflicts. After the shooters had left Togo, they started shooting again. To make matters worse, Togo’s president was arrested and sentenced to death. An international court ruled that the military junta that seized power should be brought to account. Any discussion about restoring democracy should be referred back to the legislature. For Faure to return power, he needed the ecowas leaders to approve it. The leaders sent a message to Faure saying they were ready to listen and talk. Faure responded by locking down the country. The situation",95.79
Describe the major development projects in Togo.,"Togo is a country with a wide range of national and regional development projects, aiming to improve the living conditions and opportunities of its populations. These projects reflect the country’s strategic position between Cotonou and Lagos , and her proximity to the entire West African coastline .

During the official inauguration of Cheratingi-Banyahara, the largest health project in Togo, launched in 2021, the Head of the Togolese Civilisation Association Ayi Kyerematen revealed on Facebook that the funding of the project by the Economic Community of West African States (ECOWAS) is part of the Organization's effort to strengthen people's resources-based development projects. https://t.co/4P4MrkStac #NEA2 pic.twitter.com/PH0jNruBac

Meanwhile, the ECOWAS and the Togolese Government have announced the conclusion of three other projects, aimed at strengthening education, territorial infrastructure, and regional connectivity. To mark this milestone, the ECOWAS Commission and the Togolese Government released a video highlighting one of the projects under construction: the “Full-Circle” project. This initiative aims to enhance the management of the distribution of school services and improve the transparency and interconnection between schools and the public. The two entities revealed on the video that the funding was provided by ECOWAS . https://www ecowas com/cc/en/news/176/179/177/4007/one-of-full-circles-joint-project-constructed-in-togo https://www ecowas com en/news/176/full-circles-joint-project-underway-in-togo.html

The government of Togo is home to several industrial parks, such as the Sangaré Industrial Park and the Kékéli Industrial Park, which attract investments from both within and outside West Africa. An initial consultation was held in October 2023 to welcome investors. Following the consultation, companies can begin the process of setting up by obtaining the license from the authorities of Senegal and Benin. https:// www ecowas com/en/news/176/179/177/4007/one-of-full-circles-joint-p Project: Full Circles Joint Project Undergoing Inspection in Togo https://www ecowas com en/news/176/full-circles-joint-project-undergoing-inspection-in-togo

The road connecting Lomé and Lagos is another regional project focused on enhancing transport connectivity between West Africa’s leading economic powers. Built under the AFR-Route partnership",96.27
