title,article,source,published_date,url,query,about_president,via_wayback
TIRSAL : Government launches call to tender,"(Togo First) - On the sidelines of the 58th anniversary of Togo, President Faure Essozimna Gnassingbé launched the Togo Incentive-Based Risk Sharing System for Agricultural Lending (TIRSAL). This is a project aiming to boost agriculture and agro-industry. It will help producers and entrepreneurs to secure funds from banks, which so far had been reluctant to do so.

In this framework, the government launched a call to tender, which can be accessed here .

Offers available are: Managing Director ; Administrative and Financial Director ; Partnership Director (partnership for development of agricultural value chains and government entities) ; Head of market systems for value chains ; head of procurements provision ; Head of Marketing and Communication.

Interested candidates must send their CV as well as a motivation letter to the following addresses, latest by May 30, 2018: This email address is being protected from spambots. You need JavaScript enabled to view it. ; This email address is being protected from spambots. You need JavaScript enabled to view it. and This email address is being protected from spambots. You need JavaScript enabled to view it.",www.togofirst.com,"Mon, 21 May 2018 07:00:00 GMT",https://www.togofirst.com/en/agriculture/2105-871-tirsal-government-launches-call-to-tender,Faure Essozimna Gnassingbé,yes,no
“The Path to Growth has no end” - Faure Gnassingbé (CGTN),"(Togo First) - Ahead of the upcoming China-Africa Cooperation Summit, Togo’s President, Faure Essozimna Gnassingbé, gave an interview to Chinese TV CGTN on August 23. During the interview, the leader praised relations between his country and China over the past 40 years. He declared also that the coming summit will further improve these relations.

CGTN : Your excellency, we thank you for giving us this interview. Lomé’s Gnassingbé Eyadema International Airport has been operational since two years now. How did this infrastructure affect the Togolese people? Also, has it helped boost trade between China and Togo?

Faure Essozimna Gnassingbé (F.E.G) : I will also thank you for this interview and would like to start off with a topic that the Togolese people are quite proud of our airport. First of all, I must praise all those engaged in its construction for the quality of their work. I believe it is a very nice airport, very efficient, safe in all ways that currently matter.

This airport also serves the region and you may notice, looking at neighboring nations, that it is probably one of the most modern in the region and it directly impacts the lives of the Togolese people. I can affirm that those who benefit most from the infrastructure are travelers and those working there. Did it help boost trade between China and our nation? Well, all I can say is that things are progressing greatly.

Trade between China and Togo keeps improving and this will continue. However, if what you are asking is to know if there will be a direct flight connecting both countries, I would say that in a few years, this will become a reality.

CGTN: Diplomatic ties between China and Togo are more than four decades old. What is your opinion regarding the development of the relationship between our two countries over the past few years and also how you foresee cooperation between us ?

F.E.G : Relations between China and Togo, like you said, are four decades old. Some things do not change. Our friendship is based on loyalty, mutual trust and understanding of major global issues. This has not changed.

What changed, and I would say it is for the best, is our economic relationship. It has become stronger.

Amounts involved are more significant and thus more tailored to our needs. As it gained power, China increased its financial support to African countries generally, and Togo specifically.

What I like most about our relations is that recently, they tend to focus more on exchange between youths. Many young Togolese have the opportunity to either go study in China or learn from the experiences your country has to offer.

CGTN : Which types of Chinese companies do you wish to attract to Togo ? Have investments made by Chinese firms helped Togo advance towards a sustainable development ?

F.E.G : Investments have helped Togo grow and advance in its development. However, you know that the path to growth has no end. There is no limitation to our progress, so far. We have achieved some progress, but more can be done. There are tens of millions of jobs about to be delocalized. So, any Chinese firm ready to delocalize is most welcome.

Regarding our preferred sectors for new investments, I would obviously say agriculture since it is the most important for our economy. Our agricultural sector needs to be modernized and industrialized, transformed into an agro-industry. I would say we need Chinese firms to invest in that sector.

As you may know, in Togo, and some other African nations, there are many young people and for those, the greatest concern is getting a job. We will do everything to create these jobs.

CGTN : In September, Beijing will host the China-Africa Cooperation Summit. You will be present and will meet China’s President Xi Jinping. What are your expectations for this meeting and what impact do you believe this forum will have on relations between China and Africa ?

F.E.G : I think this will be an important summit. As we look around, we can see how the world has changed. We see how the behavior of some powerful economies has changed. The world has become an unpredictable place.

As for China and Africa who are old allies and friends, we need to preserve stability. We also need to assess our perception of political and diplomatic developments actually taking place.

While some economic powers try to do things on their own, the foundation of the relationship between China and Africa lies in dialogue, focusing on a win-win cooperation. Both sides win.

I would like to discuss with President Xi Jinping about the various threats the world actually faces like terrorism and global warming. I know he, just like us, is concerned about those and would do everything to preserve peace everywhere it is threatened and most importantly promote multilateralism. That is it for political and diplomatic aspects.

In regards to economy, I believe we will have the opportunity to discuss a major project, which I praise, the “One Belt, One Road” project. We will discuss how Africa can contribute to this ambitious, generous, and revolutionary project. You know, it is quite rare to see a country, even a huge one such as China which is currently the world’s second leading economic power, launch such a major project that would involve almost every continent.

CGTN : The coming summit’s focus is the Belt and Road Initiative and this event aims to reinforce relations between China and Africa. How do you think the Belt and Road Initiative can improve China-Africa cooperation and what do you think of President Xi Jinping’s idea to build a Community of Common Destiny with Mankind ?

F.E.G : First I praise this idea to make the connection between the two. You see, looking at the world’s actual globalization, the main challenge is a rise above inequalities. Rich people are getting richer and the poor are getting poorer. So with such inequalities, how can we talk about a Community of Common Destiny ? That is why, I laud the Belt and Road Initiative .

What matters is creating adequate conditions for the less fortunate so that they can aspire to wealth and get out of poverty which they live in daily. I also recently read President Xi Jinping’s book on ways to fight poverty so I find there, a common challenge we are facing.

If things continue as they are at the moment, there is no hope for a Community of Common Destiny.

However, building a community of common destiny should not be a mere slogan. Achieving this goal can only be done through action and the “ One Belt, One Road” project is an action. So, I can make a connection between the President’s idea and the “Belt and Road Initiative” . Now, my wish, like I said earlier on, is for Africa to benefit and deserve whatever position it will be given in this major project.

Our first ambition is to ensure peace on the continent. With peace, we can move on to other things.",www.togofirst.com,"Sat, 25 Aug 2018 07:00:00 GMT",https://www.togofirst.com/en/economic-governance/2508-1454-the-path-to-growth-has-no-end-faure-gnassingbe-cgnt,Faure Essozimna Gnassingbé,yes,no
Marc Ably-Bidamon: “Togo’s ambition is to provide electricity to its whole population by 2030”,"(Togo First) - At the close of June 2018, Togo’s government launched a new national electrification strategy for the next 12 years; a strategy backed by major lenders under which authorities plan to provide power to all Togolese by 2030. In this interview with the minister of energy, Marc Ably-Bidamon, more details are provided regarding the electrification strategy which is one of the key axis of Togo’s recently adopted 2018-2022 National Development Plan.

Togo First: How is Togo’s power sector doing?

Marc Ably-Bidamon (MAB): First, I would like to sincerely thank you for your interest in our activities at the ministry of mines and energy. Now, regarding your question, Togo’s power sector is doing well. Led by the President, our government has made access to power for all, a priority. This is in line with the United Nations’ objective to achieve, by 2030, universal access to power ; power that is cheap yet of quality, and mostly that preserves the environment. In this framework, the Togolese government is doing everything to provide populations with better living conditions by ensuring constant power supply. In addition, many projects and initiatives will be launched to boost the local power sector and improve its management.

Togo First: In effect, what are the major actions that are being put in place by the government to achieve this goal?

MAB: The launch of the electrification strategy followed by the meeting of lenders and investors, held June 27 and 28, 2018, I believe, constitutes a good response to the government’s objectives.

Truly, Togo’s electrification strategy contains the government’s vision regarding national electrification by 2030. This vision aligns with SDG7 which aims to ensure access to affordable, reliable, sustainable and modern energy for all. Togo actually wants to provide all Togolese full access to electricity by 2030.

To this end, we plan to combine on-grid and off-grid (mini solar grids and solar kits) power sources.

There are also various projects that are being implemented or about to be, all over the country. The CIZO project is an example of such projects. Initiated by the President himself, this project aims to provide power to more than two million Togolese by 2022, supplying them solar kits. Another example is a project that will see 185 communities electrified.

Togo First: What is your review of the previously mentioned roundtable?

MAB: The roundtable which gathered global actors focused on assessing Togo’s electrification strategy. I would like to emphasize that it was the Head of State, Faure Essozimna Gnassingbé, who was the main initiator of the electrification strategy’s elaboration, its official launch as well as the model drawn to raise the funds needed for its effective implementation. I now get back to your question which was my assessment of this roundtable. Straight forward, I can say it was a true success, in regards to its organization; goals were met and regarding its benefits, we already recorded some, such as AfDB’s financial support but also commitments from other development partners. Testimonies from national and international participants have proven how successful the event was. Full of experience and skill sharing, this meeting is one that is highly satisfactory.

Togo First: Do you believe Togo can achieve universal power access by 2030?

MAB: This is something that the government has committed to and intends to achieve using all appropriate and necessary means. That is why we are calling our technical and financial partners, and any other willing parties, to support us in the process. These partners’ trust and the President’s own involvement are factors that reassure us and make us strongly believe that this ambition will become a reality.

Togo First: Under its new electrification strategy, Togo bets on clean energy. In fact, the roadmap plans for this type of energy to contribute 50% of its mix by 2030. What assets would you say Togo can currently leverage on to develop renewable energies?

MAB: Our first asset, I would say, is a strong sunshine exposure; this eases the exploitation of solar facilities such as individual kits and solar mini grids. The other main asset is the availability of water bodies which can host hydropower dams.

In addition to these, there is again the electrification strategy and the clean energy law which also is a key tool to ensure the emergence of energy infrastructures.

Togo First: You just mentioned that Togo adopted a law to promote and develop clean energy. What opportunities does this new law offer?

MAB: This law sets the general legal framework related to projects that will help generate power from clean sources, be it for self-use or export.

It gives the government a reliable legal tool that focuses on the management of the clean energy sector in Togo. It also is a lever that will help, efficiently and effectively, implement the various components of the national electrification strategy, launched last June 27. This strategy is based on a public-private partnership in which local private investors play a significant role.

This law will help implement our power strategy as this one relies strongly on clean energies, especially solar and hydropower, while ensuring environmental protection, in accordance with the seventh sustainable development goal.

Its application will facilitate power supply, in a significant manner, to vulnerable populations.",www.togofirst.com,"Wed, 08 Aug 2018 07:00:00 GMT",https://www.togofirst.com/en/energy/0808-1383-marc-ably-bidamon-togo-s-ambition-is-to-provide-electricity-to-its-whole-population-by-2030,Faure Essozimna Gnassingbé,yes,no
"Seduced by Togo’s national development plan, Chinese giants announce investments in the country","(Togo First) - In preparation for the opening ceremony of FOCAC, the forum on Africa-China cooperation, Togo’s delegation led by the president Faure Gnassingbé, continued meetings with investors on Monday 3, September 2018 in Beijing. The stated objective of these meetings is to invite those investors into participating in the implementation of Togo’s 5- year action plan which is mainly focused on the private sector.

After meetings (the previous day) during which two giants of the construction sector announced their intention to invest in main projects of the National development plan, four other large investors also signified their interests in investing in the country during Monday’s meetings.

CRBC: a world-class civil engineering interested in the road infrastructure sector

With the first investor Du Fei, president of China Road and Bridge Corporation (CRBC), the discussions were essentially focused on the logistics corridor namely, the connection between Lomé port and the countries of the Hinterland and projects around nationale n°1. CRBC, a world-class civil engineering company, has already proved its worth with the construction of Amakpapé bridge within a record time. This long-time partner has also built many road infrastructures such as Lomé and Alédjo bypasses as well as the   Lomé-Vogan road under construction.

China Railway Construction Bridge Engineering Group to invest in the railway sector

To boost the dying railway sector, various opportunities in the sector notably Togo’s strategic position in West Africa were presented to China Railway Construction Bridge Engineering Group during a meeting. The company specialized in railway infrastructures and already present in many large infrastructure projects in Africa expressed its will to invest into the infrastructure sector in Togo, for construction of the 600 kilometers long Lomé-Cinkassé railway notably.

Towards a partnership with YTO Camaco to accelerate modernization of the agriculture sector

Zhang Ting, director of YTO Camaco in West Africa, discussed investments in the agriculture sector. The world leader of farm machines commercialization is already selling equipment in Côte d'Ivoire, Cameroon, and Nigeria where it established subsidiaries. It is planning to set an assembly plant to manufacture ground preparation (tractors and its hitches) machines for agriculture products transformation and post-harvest equipment, in the country.  Shortly, upon Faure Gnassingbé’s instructions, the two parties will start the negotiations to accelerate the support this company can provide to the second axis of the national development plan, focused on the promotion of a modern and green agriculture which will provide massive jobs.

Power China interested in the energy sector

Already present in Togo via its African subsidiary in charge of the joint Togo-Benin energy project, Adjarala wishes to accompany Togo in the implementation of its electrification strategy. It promises to include the social dimension (allowing to contribute to the population’s well-being) in its investment plan.

Asian Infrastructure Investment Bank (AIIB) pledges support to Chinese investors in Togo

Before attending the official launch of FOCAC 2018 at Great Hall of the People in Beijing, Togo’s president Faure Essozimna Gnassingbé, accompanied by his ministers visited AIIB’s headquarters to meet Jin Liqun, president of the Asian Infrastructure Investment Bank (AIIB). After he was informed of the three key points of Togo’s national development plan, Jin Liqun praised the development's institutional framework Togo elaborated and assured that AIIB would be ready to back Chinese investors willing to invest in Togo.",www.togofirst.com,"Tue, 04 Sep 2018 07:00:00 GMT",https://www.togofirst.com/en/economic-governance/0409-1517-seduced-by-togo-s-national-development-plan-chinese-giants-announce-investments-in-the-country,Faure Essozimna Gnassingbé,yes,no
Togo : Nouvelle Société Cotonnière launches major contract for young entrepreneurs,"(Togo First) - The Nouvelle Société Cotonière du Togo (NSCT) just issued a tender for the supply of tire equipment for its rolling stock.

Fifteen enterprises led by young people and operating a wide range of activities will be able to submit their bid for this contract. They are Car Wash House, Christ Winner, Coudi Business, Doc Engine, Ets Allassane Amidou, Ets Yamba, Fredy et Sons Technologie, Garage Auto Nouvelle Technologie, Gnim & Frères, Happy Days and Fine Investment, IB & RAO Business, IBTC Sarlu, Keno Services, Megatram Sarl and Telemobil International.

The contract is divided into three lots. The first concerns the provision of tires and tire consumables. The second concerns the provision of pneumatic tires and the last the provision of tubeless tires.

Let’s note that NSCT’s announcement falls in line with a commitment of President Faure Essozimna Gnassingbé to set aside 20% of procurements for young entrepreneurs, men and women.",www.togofirst.com,"Thu, 25 Oct 2018 07:00:00 GMT",https://www.togofirst.com/en/economic-governance/2510-1883-togo-nouvelle-societe-cotonniere-launches-major-contract-for-young-entrepreneurs,Faure Essozimna Gnassingbé,yes,no
A l’état-major des FAT: Le Col. Baramna-Boukpessi Djoguigou prend les rênes  de l’Armée  de l’Air,"Le Col. Baramna-Boukpessi Djoguigou est  devenu, depuis le 24 décembre 2018, le nouveau chef d’état-major de l’Armé  de l’Air. La cérémonie  de  passation de  commandement  a été  présidée  par le  chef d’état-major général des Forces Armées Togolaises (FAT), le  gal  de  division, Félix Abalo Kadangha. Col. Baramna-Boukpessi succède au Col.  Makouya, admis  à la retraite.

Le Col. Baramna-Boukpessi Djoguigou a pris officiellement le commandement, lundi le 24 décembre 2018,  à la tête  de l’Armée de l’Air, après une  cérémonie  présidée par le  chef  d’état-major général des FAT, le gal de division  Félix Abalo Kadangha. Le Col. Baramna-Boukpessi Djoguigou  a été nommé chef d’état-major de l’Armée  de l’Air  par  décret  n° 2018-169/PR du 21 novembre 2018. Il remplace  le  Col. Makouya Blikou, admis à la retraite,  après 39 ans  et  quatre mois de service dont 3 ans  passés  à la tête  de l’Armée de l’Air.  Le Col. Makouya a  souhaité  bonne  chance à son successeur dont il a salué les qualités  exceptionnelles.

Le nouveau patron de l’Armée de l’Air, Col. Baramna-Boukpessi Djoguigou est un pilote de transport  formé  en France. Il  est  qualifié  sur  les  avions de  type  Barou 58, Buffalo DHC5D,  King Air  B 200 etFoker 28. Il est  pilote  de ligne, commandant de  bord  et  instructeur  en vol.

Le  nouveau chef d’état-major de l’Armée  de l’Air  a saisi l’occasion  pour présenter  toute  sa  gratitude  et  sa reconnaissance au président de la République, Faure Essozimna Gnassingbé  pour lechoix  porté  sur sa personne et  la  confiance à lui renouvelée  pour  commander l’une  des institutions, la plus noble  du métier de défense. Aussi Col. Baramna-Boukpessi Djoguigou  s’est-il  engagé  à  œuvrer, avec loyauté, pour  faire   du Togo, un havre de paix, conformément  à la  politique  du président de la République. Le chef d’état-major entrant a aussi témoigné sa  reconnaissance au chef d’état-major général des FAT, le  gal de division  Félix Abalo Kadangha et demandé  à  Dieu de continuer  à l’accompagner dans sa mission afin de conduire les FAT vers des succès plus  éclatants.

Le nouveau chef d’état-major  de l’Armée  de l’Aira,par ailleurs, renouvelé son admiration à son prédécesseur, Col. Makouya Balikou  pour sa brillante  carrière de près de 40 ans au service  de l’Armée de l’Air  et lui a souhaité  une  bonne retraite. Avant  sa  nomination le 21 novembre 2018  par le chef de l’Etat, Col. Baramna-Boukpessi était commandant  de la  Base de  Transport  de Lomé.",togopresse.tg,"Wed, 26 Dec 2018 08:00:00 GMT",https://togopresse.tg/a-letat-major-des-fat-le-col-baramna-boukpessi-djoguigou-prend-les-renes-de-larmee-de-lair/,Faure Essozimna Gnassingbé,yes,no
Togo: Kountoum gets a mini solar power plant,"(Togo First) - A new mini solar power plant has been developed in Kountoum, 415km north of Lomé, in the Bassar prefecture.

The infrastructure which has a low tension small distribution network, will power public lighting system.

It was commissioned Feb 26 under the high patronage of President Faure Essozimna Gnassingbé. This project falls under the government’s strategy to boost access to power in rural areas.

Indeed, in the past two years, Togo built many similar mini solar plants, namely in Assoukoko (250 kWc), Bavou (150 kWc), and Takpapiéni (100 kWc).

These projects are part of a larger program, the regional program for clean energy development and energy efficiency (PRODERE) which costs CFA2 billion.",www.togofirst.com,"Wed, 27 Feb 2019 08:00:00 GMT",https://www.togofirst.com/en/energy/2702-2628-togo-kountoum-gets-a-mini-solar-power-plant,Faure Essozimna Gnassingbé,yes,no
Togo: FNFI reveals new products on its fifth anniversary,"(Togo First) - On the sidelines of its fifth anniversary, the National Fund for Inclusive Finance unveiled new products it will be offering. These include a solution to directly refinancing beneficiaries reaching out to financial partners and another to help beneficiaries formalize (PAF).

The two products were launched in Kara last Saturday during a ceremony presided by Togo’s head of State, Faure Essozimna Gnassingbé.

The PAF finances equipment for craftsmanship and processing. It also aims at providing craftsmen their working capital. According to president Gnassingbé, the two new products are an appropriate answer to requests made by FNFI beneficiaries.

For Mazamaesso Assih, State Secretary in charge of inclusive finance, with these new products, beneficiaries will truly contribute to the growth of Togo’s GDP.

Let’s emphasize that two conventions were signed during the announcement. The first between Orabank and the FNFI and the second between Orabank and the FNFI’s partnering institutions.",www.togofirst.com,"Mon, 25 Mar 2019 07:00:00 GMT",https://www.togofirst.com/en/economic-governance/2503-2819-togo-fnfi-reveals-new-products-on-its-fifth-anniversary,Faure Essozimna Gnassingbé,yes,no
Pope receives president of Togo - Vatican News,"Pope Francis on Monday received in audience in the Vatican, President Faure Essozimna Gnassingbé of Togo, the Holy See Press Office said in a brief statement.  Gnassingbé later met Vatican Secretary of State, Cardinal Pietro Parolin and Vatican Secretary for Relations with States, Archbishop Paul Richard Gallagher .

The Vatican said that âduring the cordial discussions, the good existing relations between the Holy See and Togo were evoked, as well as the prospects of their further consolidation.â  In this context, the two sides focused on the current situation of the West African nation, âunderlining the contribution of the Catholic Church to the integral development of the Togolese population, especially through her commitment in the fields of education and healthcare.â

They also discussed some challenges specific to the countries of West and Sub-Saharan Africa , and showed the âneed for joint efforts at regional and international level in favour of security, stability and peace. â

Thank you for reading our article. You can keep up-to-date by subscribing to our daily newsletter. Just click here .",www.vaticannews.va,2019-04-29,https://www.vaticannews.va/en/pope/news/2019-04/pope-francis-togo-president-audience-parolin.html,Faure Essozimna Gnassingbé,yes,no
Oragroup makes its debut at the Bourse RÃ©gionale des Valeurs MobiliÃ¨res (BRVM),"Lomé (Togo), April 16, 2019 - In the presence of the Minister of Economy and Finance of the Togolese Republic, Mr. Sani Yaya, representing His Excellency the President of the Republic, Mr. Faure Essozimna Gnassingbé, the pan-African banking group Oragroup was listed today on the Bourse Régionale des Valeurs Mobilières (BRVM), during the listing ceremony held in Lomé. This listing - the most important since the creation of the BRVM in 1998 - follows the success of its 100% subscribed public offering of shares, from 29 October to 22 November 2018.

This public offering included the issuance of 6,097,561 new shares, through a capital increase, and the sale of 7,785,445 existing shares on the secondary market at a price of CFAF 4,100 per share, representing a CFAF 56.92 billion (€86 million) fundraising on the regional financial market. At present, 20% of Oragroup's capital is listed on the stock exchange (floating capital). 20% of Oragroup's share capital are now listed on the stock exchange (floating capital). The Group's other current shareholders retain 80% of the capital, including pan-African investor Emerging Capital Partners (ECP), which will remain the reference shareholder with more than 50% of the shares.

""ECP and Oragroup today demonstrate that African finance is developing, that it exists to fund our economies and that we are witnessing the emergence of an authentic Afrocapitalism, capable of intensifying and accelerating the continent's growth, and its profound and sustainable transformation for the wider benefit of the populations. ECP's strategy is to create value in each of its investments by bringing all of the company's activities up to international standards to support the emergence of regional champions over time,"" explains Vincent Le Guennou, Chairman of the Board of Directors of Oragroup and Co-CEO of Emerging Capital Partners.

""This initial public offering stems from the work carried out over the past 10 years but also and above all is an incentive to continue along the same path. The market's confidence confirms the strength of our model and the growth potential of our Group. Oragroup intends to use this new flexibility to invest in the expansion of its network and customer services, mainly to the benefit of individuals and SMEs. This capital increase will specifically enable investments in digital banking, allow us to seize growth opportunities in Central African countries, increase the Group's reputation with the financial community and the general public, and strengthen the equity capital of some subsidiaries,"" says Binta Touré Ndoye, CEO of Oragroup.

At the end of 2017, Oragroup had a balance sheet total of CFAF 1,794 billion (2.72 billion euros), representing a growth of 45 % since 2014. Deposits from customers throughout the Orabank network amounted to CFAF 1,179 billion (+42% over the same period) and credit operations to CFAF 1,085 billion (+38%). In total, the Group has a net banking income of CFAF 108 billion (164 million euros, +33 %) and a net income up sharply by 45% year-on-year, and 205 % since 2014 at CFAF 21.97 billion (33 million euros).

In 10 years, Oragroup's growth trajectory has been exemplary. The Orabank network has grown from having a presence in five countries in West and Central Africa to a pan-African dimension with subsidiaries in 12 countries, spread across four currency areas. After winning the ""best regional bank in West Africa"" award in 2015 and 2017 (African Banker Awards), in May 2018, Oragroup obtained the Bloomfield agency's A long-term investment and A2 short-term investment ratings, thus showcasing the strength and performance of the Group. On November 30, 2018, three Oragroup subsidiaries in Burkina Faso, Senegal and Togo won the ""Bank of the Year Award"" in their respective countries from The Banker magazine, published by the Financial Times Group.

About Orabank Oragroup is present in 12 countries across West and Central Africa (Benin, Burkina Faso, Côte d'Ivoire, Gabon, Guinea Conakry, Guinea Bissau, Mali, Mauritania, Niger, Senegal, Chad, Togo) and in four Monetary Union areas (WAEMU, CEMAC, Guinea Conakry, Mauritania). With 149 bank branches and 1,857 employees, Oragroup proposes to its 430,000 customers (governments, institutions, NGOs, large national and international companies, SMEs and private individuals) a wide range of banking products and services based on proximity and responsiveness.

Working towards financial inclusion through the deployment of innovative solutions, Oragroup is also focusing on the less banked segments of the population. This commitment is reflected in its CSR approach, which is an integral part of its strategy and is a priority of its governing bodies, focused on anti money laundering, energy transition, the management of social and environmental risks, and the well-being of the general public and its employees.

For more information, please consult www.orabank.net or follow us on LinkedIn , @GroupeOrabank on Twitter , Facebook , Instagram , You Tube .

Oragroup - Head of Communication Delphine Ndiaye +228 92 52 08 04 / +228 99 86 41 44 delphine.ndiaye@orabank.net

35°Nord – Press Relations Agency Nicolas Teisserenc +33 (0)6 18 09 66 90 nt@35nord.com

AllAfrica publishes around 600 reports a day from more than 90 news organizations and over 500 other institutions and individuals , representing a diversity of positions on every topic. We publish news and views ranging from vigorous opponents of governments to government publications and spokespersons. Publishers named above each report are responsible for their own content, which AllAfrica does not have the legal right to edit or correct.

Articles and commentaries that identify allAfrica.com as the publisher are produced or commissioned by AllAfrica . To address comments or complaints, please Contact us .

AllAfrica is a voice of, by and about Africa - aggregating, producing and distributing 600 news and information items daily from over 90 African news organizations and our own reporters to an African and global public. We operate from Cape Town, Dakar, Abuja, Johannesburg, Nairobi and Washington DC.

Get the latest in African news delivered straight to your inbox

By submitting above, you agree to our privacy policy .

To complete the process, please follow the instructions in the email we just sent you.

There was a problem processing your submission. Please try again later.",allafrica.com,2019-04-16,https://allafrica.com/stories/201904160876.html,Faure Essozimna Gnassingbé,yes,no
